id,createTime,createDate,serviceFirstTime,serviceFirstDate,serviceLastTime,serviceLastDate,serviceUnitTime,x,y
0,1661422500,2022/8/25 18:15,1662786000,2022/9/10 13:00,1662789600,2022/9/10 14:00,90,-4693,-12716
1,1661474400,2022/8/26 8:40,1662768000,2022/9/10 8:00,1662771600,2022/9/10 9:00,60,2176,-17371
2,1661568300,2022/8/27 10:45,1662771600,2022/9/10 9:00,1662775200,2022/9/10 10:00,60,3940,-11414
3,1661575800,2022/8/27 12:50,1662789600,2022/9/10 14:00,1662793200,2022/9/10 15:00,90,1791,-16026
4,1661614200,2022/8/27 23:30,1662800400,2022/9/10 17:00,1662804000,2022/9/10 18:00,90,10169,-14392
5,1661662200,2022/8/28 12:50,1662775200,2022/9/10 10:00,1662778800,2022/9/10 11:00,90,12127,-8696
6,1661846700,2022/8/30 16:05,1662771600,2022/9/10 9:00,1662775200,2022/9/10 10:00,90,7763,-15024
7,1661938200,2022/8/31 17:30,1662768000,2022/9/10 8:00,1662771600,2022/9/10 9:00,60,10846,-16361
8,1661999100,2022/9/1 10:25,1662771600,2022/9/10 9:00,1662775200,2022/9/10 10:00,90,-5678,-5303
9,1662001200,2022/9/1 11:00,1662775200,2022/9/10 10:00,1662778800,2022/9/10 11:00,120,-8818,-16592
10,1662012600,2022/9/1 14:10,1662793200,2022/9/10 15:00,1662796800,2022/9/10 16:00,60,-271,-178
11,1662102900,2022/9/2 15:15,1662768000,2022/9/10 8:00,1662782400,2022/9/10 12:00,60,-18446,-7727
12,1662108300,2022/9/2 16:45,1662771600,2022/9/10 9:00,1662775200,2022/9/10 10:00,90,-13224,-7135
13,1662109500,2022/9/2 17:05,1662771600,2022/9/10 9:00,1662775200,2022/9/10 10:00,60,-5408,-4549
14,1662135000,2022/9/3 0:10,1662782400,2022/9/10 12:00,1662786000,2022/9/10 13:00,120,-7938,11418
15,1662164700,2022/9/3 8:25,1662768000,2022/9/10 8:00,1662782400,2022/9/10 12:00,60,-10756,-23997
16,1662171900,2022/9/3 10:25,1662796800,2022/9/10 16:00,1662800400,2022/9/10 17:00,90,-2214,-13722
17,1662178200,2022/9/3 12:10,1662768000,2022/9/10 8:00,1662771600,2022/9/10 9:00,120,572,-4728
18,1662183000,2022/9/3 13:30,1662789600,2022/9/10 14:00,1662793200,2022/9/10 15:00,60,-2710,-5082
19,1662205200,2022/9/3 19:40,1662800400,2022/9/10 17:00,1662804000,2022/9/10 18:00,90,10338,-13712
20,1662213900,2022/9/3 22:05,1662775200,2022/9/10 10:00,1662778800,2022/9/10 11:00,60,7288,-4709
21,1662215100,2022/9/3 22:25,1662800400,2022/9/10 17:00,1662804000,2022/9/10 18:00,120,572,-4728
22,1662215700,2022/9/3 22:35,1662786000,2022/9/10 13:00,1662789600,2022/9/10 14:00,120,572,-4728
23,1662217800,2022/9/3 23:10,1662793200,2022/9/10 15:00,1662796800,2022/9/10 16:00,60,-16633,-4487
24,1662220200,2022/9/3 23:50,1662768000,2022/9/10 8:00,1662771600,2022/9/10 9:00,60,-416,-17129
25,1662224700,2022/9/4 1:05,1662786000,2022/9/10 13:00,1662789600,2022/9/10 14:00,90,-15478,-27171
26,1662262200,2022/9/4 11:30,1662786000,2022/9/10 13:00,1662789600,2022/9/10 14:00,90,-5043,-12887
27,1662266400,2022/9/4 12:40,1662793200,2022/9/10 15:00,1662796800,2022/9/10 16:00,90,-4624,-9316
28,1662285000,2022/9/4 17:50,1662775200,2022/9/10 10:00,1662778800,2022/9/10 11:00,90,-10752,-6023
29,1662296100,2022/9/4 20:55,1662768000,2022/9/10 8:00,1662782400,2022/9/10 12:00,60,-11254,-1572
30,1662305100,2022/9/4 23:25,1662768000,2022/9/10 8:00,1662771600,2022/9/10 9:00,90,-2351,-23280
31,1662305400,2022/9/4 23:30,1662793200,2022/9/10 15:00,1662796800,2022/9/10 16:00,90,-59,-73
